ticker,price_2024
AALR3,"8,55"
ABCB4,"19,31"
ABEV3,#N/A
AERI3,"5,71"
AESB3,#N/A
AFLT3,"7,15"
AGRO3,"22,12"
AGXY3,"0,45"
AHEB3,"38,25"
AHEB5,#N/A
AHEB6,#N/A
ALLD3,"6,85"
ALPA3,"5,80"
ALPA4,"6,36"
ALPK3,"2,21"
ALSO3,#N/A
ALUP11,"26,42"
ALUP3,"9,00"
ALUP4,"8,90"
AMAR3,"1,01"
AMBP3,"130,00"
AMER3,"6,20"
ANIM3,"1,58"
APER3,#N/A
APTI3,#N/A
APTI4,#N/A
ARML3,"5,03"
ARZZ3,#N/A
ASAI3,"5,63"
ATMP3,"1,22"
ATOM3,#N/A
AVLL3,"2,72"
AZEV3,"0,34"
AZEV4,"0,94"
AZUL4,"3,54"
B3SA3,"10,32"
BAHI3,#N/A
BALM3,#N/A
BALM4,"11,00"
BAUH3,#N/A
BAUH4,"78,48"
BAZA3,"85,95"
BBAS11,#N/A
BBAS12,#N/A
BBAS3,"2185,00"
BBDC3,#N/A
BBDC4,"11,56"
BBML3,#N/A
BBRK3,#N/A
BBSE3,"36,18"
BDLL3,"12,12"
BDLL4,"7,90"
BEEF3,"5,09"
BEES3,"8,52"
BEES4,"8,70"
BETP3B,#N/A
BGIP3,#N/A
BGIP4,"23,65"
BIDI11,#N/A
BIDI3,#N/A
BIDI4,#N/A
BIOM3,"10,66"
BKBR3,#N/A
BLAU3,"13,15"
BLUT3,#N/A
BLUT4,#N/A
BMEB3,"31,62"
BMEB4,"37,80"
BMGB4,"3,73"
BMIN3,"20,37"
BMIN4,"16,90"
BMKS3,"323,00"
BMOB3,"13,58"
BNBR3,"101,33"
BOAS3,#N/A
BOBR3,#N/A
BOBR4,"1,88"
BPAC11,"27,20"
BPAC3,"14,04"
BPAC5,"6,98"
BPAN4,"6,34"
BPAR3,#N/A
BRAP3,"15,76"
BRAP4,"16,58"
BRBI11,"13,14"
BRFS3,"25,36"
BRGE11,#N/A
BRGE12,#N/A
BRGE3,#N/A
BRGE5,#N/A
BRGE6,#N/A
BRGE7,#N/A
BRGE8,#N/A
BRIT3,#N/A
BRIV3,#N/A
BRIV4,#N/A
BRKM3,"12,10"
BRKM5,"11,58"
BRKM6,"7,03"
BRML3,#N/A
BRPR3,#N/A
BRQB3,#N/A
BRSR3,"11,65"
BRSR5,"15,03"
BRSR6,"10,20"
BSLI3,"7,98"
BSLI4,"8,15"
CABI3B,#N/A
CACO3B,#N/A
CALI3,#N/A
CALI4,#N/A
CAMB3,"10,49"
CAML3,"5,85"
CARD3,#N/A
CASH3,"2,75"
CASN3,"10,00"
CASN4,#N/A
CATA3,#N/A
CATA4,#N/A
CBAV3,"4,69"
CBEE3,#N/A
CCRO3,"10,17"
CEAB3,"8,05"
CEBR3,"15,74"
CEBR5,"15,54"
CEBR6,"17,17"
CEDO3,"30,50"
CEDO4,"22,80"
CEEB3,"38,60"
CEEB5,#N/A
CEEB6,#N/A
CEED3,"11,91"
CEED4,#N/A
CEGR3,#N/A
CEPE3,#N/A
CEPE5,#N/A
CEPE6,#N/A
CESP3,#N/A
CESP5,#N/A
CESP6,#N/A
CGAS3,"133,37"
CGAS5,"120,00"
CGRA3,"25,58"
CGRA4,"25,83"
CIEL3,#N/A
CLSA3,"9,84"
CLSC3,"83,98"
CLSC4,"80,50"
CMIG3,"14,63"
CMIG4,"11,11"
CMIN3,"5,15"
CMSA3,#N/A
CMSA4,#N/A
CNSY3,#N/A
COCE3,#N/A
COCE5,"25,17"
COCE6,#N/A
COGN3,"1,09"
CORR3,#N/A
CORR4,#N/A
CPFE3,"31,59"
CPLE11,#N/A
CPLE3,"8,24"
CPLE5,"10,93"
CPLE6,"9,15"
CRDE3,#N/A
CRFB3,"5,43"
CRIV3,#N/A
CRIV4,#N/A
CRPG3,#N/A
CRPG5,"20,00"
CRPG6,"20,49"
CRTE3B,#N/A
CSAB3,#N/A
CSAB4,#N/A
CSAN3,"8,16"
CSED3,"3,20"
CSMG3,"20,82"
CSNA3,#N/A
CSRN3,#N/A
CSRN5,#N/A
CSRN6,#N/A
CTCA3,#N/A
CTKA3,#N/A
CTKA4,"21,90"
CTNM3,#N/A
CTNM4,#N/A
CTSA3,"1,66"
CTSA4,"0,80"
CURY3,"17,46"
CVCB3,"1,38"
CXSE3,"14,25"
CYRE3,"16,95"
DASA3,"1,90"
DESK3,"10,46"
DEXP3,"8,37"
DEXP4,"8,32"
DIRR3,"26,60"
DMMO3,#N/A
DMVF3,"6,15"
DOHL3,#N/A
DOHL4,"4,06"
DOTZ3,"2,95"
DTCY3,"3,90"
DTCY4,#N/A
DXCO3,"5,96"
EALT3,"13,50"
EALT4,"13,49"
ECOR3,"4,24"
ECPR3,#N/A
ECPR4,#N/A
EEEL3,#N/A
EEEL4,#N/A
EGIE3,"35,50"
EKTR3,"40,51"
EKTR4,"49,00"
ELET3,"34,13"
ELET5,"82,57"
ELET6,"37,84"
ELMD3,"28,60"
EMAE3,#N/A
EMAE4,"42,00"
EMBR3,"56,19"
ENAT3,#N/A
ENBR3,#N/A
ENEV3,"10,53"
ENGI11,"36,48"
ENGI3,"11,03"
ENGI4,"6,65"
ENJU3,"1,05"
ENMT3,"83,03"
ENMT4,#N/A
EPAR3,"5,28"
EQMA3B,#N/A
EQMA5B,#N/A
EQPA3,"5,62"
EQPA5,#N/A
EQPA6,#N/A
EQPA7,#N/A
EQTL3,"27,40"
ESPA3,"0,74"
ESTR3,#N/A
ESTR4,"3,97"
ETER3,"5,08"
EUCA3,"16,99"
EUCA4,"13,93"
EVEN3,"5,36"
EZTC3,"10,83"
FESA3,"12,45"
FESA4,"8,19"
FHER3,"6,20"
FIGE3,"16,00"
FIGE4,#N/A
FIQE3,"3,50"
FLEX3,#N/A
FLRY3,"12,07"
FNCN3,#N/A
FRAS3,"20,50"
FRIO3,"330,00"
FRRN3B,#N/A
FRRN5B,#N/A
FRTA3,#N/A
G2DI33,"1,80"
GEPA3,"29,00"
GEPA4,"29,75"
GETT11,#N/A
GETT3,#N/A
GETT4,#N/A
GFSA3,"1,18"
GGBR3,"16,97"
GGBR4,"18,14"
GGPS3,"13,98"
GMAT3,"6,39"
GNDI3,#N/A
GOAU3,"10,18"
GOAU4,"10,25"
GOLL4,"1,30"
GPAR3,"35,00"
GRND3,"4,88"
GSHP3,"6,51"
GUAR3,"6,19"
HAGA3,"1,91"
HAGA4,"1,15"
HAPV3,"445,00"
HBOR3,"1,38"
HBRE3,"2,98"
HBSA3,"2,75"
HBTS3,#N/A
HBTS5,"27,09"
HBTS6,#N/A
HETA3,#N/A
HETA4,"5,24"
HOOT3,#N/A
HOOT4,"2,34"
HYPE3,"18,09"
IFCM3,"0,06"
IGBR3,#N/A
IGSN3,#N/A
IGTI11,"17,27"
IGTI3,"2,09"
INEP3,"1,42"
INEP4,"1,31"
INNT3,#N/A
INTB3,"12,78"
IRBR3,"42,45"
ITSA3,"8,95"
ITSA4,"8,79"
ITUB3,#N/A
ITUB4,"30,73"
IVPR3B,#N/A
IVPR4B,#N/A
JALL3,"4,64"
JBSS3,#N/A
JFEN3,"2,28"
JHSF3,"3,66"
JOPA3,"21,00"
JOPA4,#N/A
JSLG3,"5,41"
KEPL3,"9,31"
KLBN11,"23,20"
KLBN3,"4,97"
KLBN4,"4,59"
KRSA3,"8,20"
LAME3,#N/A
LAME4,#N/A
LAND3,"14,06"
LAVV3,"7,49"
LCAM3,#N/A
LEVE3,"27,46"
LIGT3,"4,06"
LIPR3,"41,14"
LJQQ3,"2,16"
LLBI3,#N/A
LLIS3,#N/A
LMED3,#N/A
LOGG3,"18,01"
LOGN3,"20,72"
LPSB3,"1,50"
LREN3,#N/A
LTEL3B,#N/A
LTLA3B,#N/A
LUPA3,"1,18"
LUXM3,#N/A
LUXM4,"12,50"
LVTC3,"2,24"
LWSA3,"3,32"
MAPT3,"4,28"
MAPT4,"5,42"
MATD3,"3,64"
MBLY3,"1,57"
MDIA3,"20,05"
MDNE3,"10,80"
MEAL3,"0,97"
MEGA3,#N/A
MELK3,"3,55"
MERC3,#N/A
MERC4,"8,25"
MGEL3,#N/A
MGEL4,"7,99"
MGLU3,"1230,00"
